article_date,article_description,article_title,article_url
2021-04-28,"WASHINGTON, D.C. —  Secretary of Energy Jennifer M. Granholm issued the following statement today on  President Biden’s intent to nominate  Dr. Geraldine Richmond for Under Secretary for Science, Andrew Light for Assistant Secretary for International Affairs, and Sam Walsh for General Counsel.  “I am thrilled by President Biden’s decision to nominate Dr. Geraldine Richmond, Andrew Light, and Sam Walsh for these key leadership positions at the Department of Energy. From solving environmental challenges through the power of the basic sciences, to guiding some of America’s most critical international climate negotiations, to helping the federal government navigate the clean energy transition, each of these nominees brings a wealth of experience that will be instrumental as we work towards achieving the President’s ambitious climate goals. I’m so grateful that they’re willing to serve our nation, and look forward to their speedy confirmation.” About Dr. Geraldine Richmond Geraldine Richmond is the Presidential Chair in Science and Professor of Chemistry at the University of Oregon. Bridging the fields of chemistry and physics, Richmond’s research focuses on understanding the molecular characteristics of water surfaces, studies that have relevance to environmental issues such as oil remediation, atmospheric chemistry and alternative energy sources. Her teaching and extensive outreach efforts have focused on science communication and building a strong and inclusive workforce. She has been honored by numerous honors and awards including the National Medal of Science from President Obama (2016), the Presidential Award for Excellence in Science, Mathematics and Engineering Mentoring from President Clinton (1997) and the American Chemical Society’s highest honor, the Priestley Medal (2018). Richmond is a member of the National Academy of Sciences, and is a Fellow of the American Academy of Arts and Sciences, the American Chemical Society, the American Physical Society and the Association for Women in Science. Richmond has served in many leadership roles throughout her career including as Chair of the Department of Energy's Basic Energy Sciences Advisory Committee (1998-2003), as U.S. Science Envoy to the Lower Mekong River Countries of Vietnam, Laos, Cambodia, Burma and Thailand (2015-2016) and as President of both the American Association for the Advancement of Science (2015) and Sigma Xi, the Honorary Scientific Research Society (2019-2020). She was appointed to the National Science Board by President Obama (2012-2018) and reappointed by President Trump (2018-present). Richmond is the Founding Director of COACh (1998-present), a grass-roots organization that has helped over 25,000 women scientists and engineers in career advancement in the U.S. and over two dozen developing countries. A native of Kansas, Richmond received her B.S. in chemistry from Kansas State University in 1975 and her Ph.D. in physical chemistry at the University of California, Berkeley in 1980.  About Andrew Light Andrew Light, Ph.D., joined the Biden Administration in January as the Principal Deputy Assistant Secretary for International Affairs at the Department of Energy. Currently, Light is on a leave of absence from his position as University Professor of Philosophy, Public Policy, and Atmospheric Sciences at George Mason University. He previously served as a Distinguished Senior Fellow at the World Resources Institute in Washington, D.C. In both positions, he worked at the intersection of U.S. and international climate and energy policy. From 2013-2016 he served as Senior Adviser and India Counselor to the U.S. Special Envoy on Climate Change and on the staff of Secretary of State John Kerry’s Office of Policy Planning in the U.S. Department of State. In this capacity, he was Director of the U.S.-India Joint Working Group for Combating Climate Change, Chair of the U.S. Interagency Climate Working Group for negotiation of the Sustainable Development Goals, and served on the senior strategy team for the United Nations (UN) climate negotiations, among other duties. In recognition of this work, Light shared a Superior Honor Award from the U.S. Department of State in July 2016 for “contributions to the U.S. effort that made the 21st Conference of the Parties to the UN Framework Convention on Climate Change in Paris, where the landmark Paris Agreement was concluded, a historic success.” Light has authored or co-authored dozens of policy reports on international energy and climate issues, and he has been a long-time champion of work demonstrating the benefits of international climate and energy cooperation on the employment opportunities, security, environmental quality, and health of the American people. As the grandson of two West Virginia coal miners, his understanding of the vital necessity for a strong U.S. energy economy is rooted in his childhood. He grew up in rural Georgia, where he formed an abiding appreciation of the environment, completing his undergraduate degree at Mercer University, graduate studies at the University of California at Riverside, and a post-doctoral fellowship at the University of Alberta. He lives with his family in Washington, D.C. About Sam Walsh Samuel T. Walsh is an attorney and former Deputy General Counsel for Energy Policy at the U.S. Department of Energy (DOE). In his more than six years at DOE during the Obama Administration he also served as Associate General Counsel and Senior Legal Advisor to the General Counsel. Walsh is currently a lawyer in private practice at Harris, Wiltshire & Grannis LLP. Prior to his service at DOE, he also worked as an associate in the energy group at Hogan Lovells LLP and as a law clerk to the Hon. Judge David S. Tatel of the U.S. Court of Appeals for the District of Columbia Circuit. Walsh holds a B.A. from Yale College, an M.P.A. from the Harvard Kennedy School, and a J.D. from Harvard Law School. Originally from New York, Walsh now lives in Washington D.C. with his wife and two children.",Statement by Secretary Granholm on President Biden's Latest Department of Energy Nominees,https://www.energy.gov/articles/statement-secretary-granholm-president-bidens-latest-department-energy-nominees-0
2021-04-20,"WASHINGTON, D.C. —  The U.S. Department of Energy (DOE) today announced it will work with 11 remote and island communities around the United States and provide federal assistance to bolster their energy infrastructure, reduce the risk of outages, and improve their future energy and economic outlook. Due to their geographic isolation, remote coastal and island communities often face high energy costs and vulnerable energy infrastructure due to their increased risk of natural disasters and climate change. Watch  this video  to learn more about the program.  “Residents of remote and island communities face energy disruptions, natural disasters, and climate change impacts and pay some of the nation’s highest energy costs,” said  Secretary of Energy Jennifer M. Granholm.  “These 11 communities—working hand-in-hand with DOE’s network of experts—will implement resilient and secure clean energy solutions. It’s a win-win—environmentally impacted communities will benefit from cheaper, more reliable power in their homes and businesses while our country makes progress toward the Biden Administration’s goal of 100% clean electricity by 2035.” DOE’s Energy Transitions Initiative Partnership Project (ETIPP) will leverage the world-class expertise of DOE's experts and National Labs to advance local clean energy solutions and improve resilience for these 11 communities which, like other remote and island areas, often lack the financial resources and the access to experts to plan a clean energy transition. ETIPP employs a community-led and inclusive approach by identifying the energy challenges of each community and providing strategic assistance to help them determine and direct their energy transition. “As the threats of climate change grow more severe, it is essential that communities across the country make investments in clean, resilient infrastructure,” said  Senators Susan Collins and Angus King.  “This is especially true for coastal Maine towns, which have both high risks associated with climate change and an immense amount of untapped natural resources at their disposal. This funding will support the efforts of Eastport and Islesboro to build 21st century infrastructure that will support the region’s energy needs in the short-term and lay the groundwork for long-term resiliency.” ""For our island state that has long depended on imported oil, a clean energy future means resiliency and economic security. I want to thank the Department of Energy for selecting two Hawaii communities for the Energy Transitions Initiative Partnership Project. These projects address two of the most important steps in achieving our goal to become carbon negative by 2045—clean transportation and grid improvements,"" said  Senator Brian Schatz. “I applaud the Department of Energy for helping island communities plan the best way to meet their unique energy needs in a more affordable, resilient, and sustainable way. The Energy Transitions Initiative is focused on embracing local knowledge and helping community organizations use federal expertise and assistance to find solutions to the unique energy needs of each island community. Accelerating assistance will speed up Hawaii’s transition to renewable energy for our vehicles, homes, and businesses in the face of climate change challenges,"" said  Senator Mazie Hirono. Previous DOE initiatives helped New Orleans rebuild from Hurricane Katrina with funding for  advanced microgrids  to power parts of the city and trained Hawaii utilities officials on building more  capacity for renewable energy sources . The 11 selected communities are: These projects are funded by Office of Energy Efficiency and Renewable Energy’s  Energy Transition Initiative ,  Solar Energy Technologies Office ,  Water Power Technologies Office , and are supported by the cross-cutting expertise of  DOE’s Office of Electricity . Five regional stakeholder engagement partners will help communities identify and prioritize their energy resilience needs and connect them to experts from DOE’s National Renewable Energy Laboratory, Pacific Northwest National Laboratory, Sandia National Laboratories, and Lawrence Berkeley National Laboratory. In Fall 2021, new communities will be able to apply to be in the second group receiving technical assistance. For more information, visit  the ETIPP website .",DOE to Support 11 Remote and Island Communities Transitioning to Resilient Clean Energy Solutions,https://www.energy.gov/articles/doe-support-11-remote-and-island-communities-transitioning-resilient-clean-energy
2021-04-23,"WASHINGTON, D.C.  — The U.S. Department of Energy (DOE), along with other governments, this week announced six new initiatives that will expand international cooperation around tackling the climate crisis, boosting clean energy innovation, and advancing an equitable transition to a net-zero future. These efforts, coordinated by DOE’s Office of International Affairs in support of President Biden’s  Leaders Summit on Climate , will help America meet the Biden Administration’s ambitious domestic goals of 100% clean electricity by 2035 and net-zero carbon emissions by 2050, while creating millions of good-paying jobs across the nation.  “President Biden is ready to go big on a clean energy transition that remakes our economy, builds new businesses, and puts millions of Americans to work,” said  Secretary of Energy Jennifer M. Granholm.  “These initiatives will move the U.S. and the world forward on lowering emissions, deploying new technologies, and creating jobs so that we can do right by our planet and our people.” At the Leaders Summit today, Secretary Granholm also announced that DOE will put forth new goals in the coming weeks for bold, achievable leaps to lower the cost of next-generation clean energy technologies, including: clean, renewable hydrogen; battery cells for electric vehicles and energy storage; and industrial and atmospheric carbon capture. These are in addition to DOE’s  previously announced goal  to cut the price of solar by more than half by 2030. The six new global initiatives were announced throughout Earth Week and include:",DOE Launches International Clean Energy Initiatives to Tackle Climate Crisis,https://www.energy.gov/articles/doe-launches-international-clean-energy-initiatives-tackle-climate-crisis
2021-04-20,"WASHINGTON, D.C. —  As part of the Biden Administration's effort to safeguard U.S. critical infrastructure from persistent and sophisticated threats, the U.S. Department of Energy (DOE) launched an initiative to enhance the cybersecurity of electric utilities’ industrial control systems (ICS) and secure the energy sector supply chain. This 100 day plan—a coordinated effort between DOE, the electricity industry, and the Cybersecurity and Infrastructure Security Agency (CISA)—represents swift, aggressive actions to confront cyber threats from adversaries who seek to compromise critical systems that are essential to U.S. national and economic security.  “The United States faces a well-documented and increasing cyber threat from malicious actors seeking to disrupt the electricity Americans rely on to power our homes and businesses,” said  Secretary of Energy Jennifer M. Granholm . “It’s up to both government and industry to prevent possible harms—that’s why we’re working together to take these decisive measures so Americans can rely on a resilient, secure, and clean energy system.” “The safety and security of the American people depend on the resilience of our nation's critical infrastructure. This partnership with the Department of Energy to protect the U.S. electric system will prove a valuable pilot as we continue our work to secure industrial control systems across all sectors,” said  CISA Director (Acting) Brandon Wales. Advancing Technologies to Protect U.S. Electric Power System from Cyber Threats Over the next 100 days, DOE’s Office of Cybersecurity, Energy Security, and Emergency Response (CESER)—in partnership with electric utilities—will continue to advance technologies and systems that will provide cyber visibility, detection, and response capabilities for industrial control systems of electric utilities. The initiative modernizes cybersecurity defenses and: Seeking Energy Industry Input on Securing the U.S. Energy System In addition, DOE released a new Request for Information (RFI) to seek input from electric utilities, energy companies, academia, research laboratories, government agencies, and other stakeholders to inform future recommendations for supply chain security in U.S. energy systems. Following a 90-day suspension, EO 13920 resumes effect. With the release of the RFI and to provide a consistent and clear policy environment, DOE is revoking the ""Prohibition Order Securing Critical Defense Facilities."" The comments received in response to the RFI will enable DOE to evaluate new executive actions to further secure the nation’s critical infrastructure against malicious cyber activity and strengthen the domestic manufacturing base. Accordingly, the Department expects that, during the period of time in which further recommendations are being developed, utilities will continue to  act in a way that minimizes the risk of installing electric equipment and programmable components    that are subject to foreign adversaries’ ownership, control, or influence. The RFI is available on the Office of Electricity’s web page,  www.energy.gov/oe/securing-critical-electric-infrastructure , and responses will be due by 5 PM Eastern Time on Monday, June 7, 2021. DOE’s actions support the Administration’s comprehensive strategy and are part of a whole of government effort, including the recent “America’s Supply Chains” Executive Order 14017, to strengthen the resilience, diversity, and security of American supply chains and industrial control systems to ensure economic prosperity and national security.",Biden Administration Takes Bold Action to Protect Electricity Operations from Increasing Cyber Threats,https://www.energy.gov/articles/biden-administration-takes-bold-action-protect-electricity-operations-increasing-cyber-0
2021-04-19,"WASHINGTON, D.C. —  Secretary of Energy Jennifer M. Granholm yesterday joined college students from around the world to announce the winners of the U.S. Department of Energy (DOE) Solar Decathlon—a collegiate competition that challenges the next generation of building professionals to design and construct high-performance, low-carbon buildings powered by renewable energy. The 72 competing teams representing 12 countries designed resilient and energy-efficient, homes, schools, offices, and retail spaces, nine of which were constructed and presented in the first-ever  Solar Decathlon Virtual Village on the National Mall  in Washington, D.C. Watch Sunday’s awards ceremony and Secretary Granholm’s remarks  HERE . “Our fight against the climate crisis is a lot like a decathlon, with all kinds of individual contests we need to get through—and we can’t win unless we do well in them all,” said  Secretary Granholm . “Today’s decathletes are tomorrow’s architects and engineers who are going to help us achieve President Biden’s ambitious and achievable clean energy goals and build our net-zero future. I can’t wait to see their big ideas come to life in neighborhoods across the country and around the world.” According to DOE analysis, buildings currently account for approximately 74% of electricity use, 39% of total energy use, and 35% of carbon emissions in the United States. There are more than 125 million buildings in the nation that need retrofits to achieve the Administration’s goal of net-zero emissions by 2050—which President Biden’s  American Jobs Plan  proposes to address. The Solar Decathlon supports a key strategy to bring that vision to life, by building a pipeline of energy-savvy workers prepared for millions of future jobs in design, construction, retrofitting, weatherization, and more. The full list of the winners of the 2020 Build Challenge and 2021 Design Challenge is below: 2020 Build Challenge Overall Winners 2021 Design Challenge Grand Winners 2020 Build Challenge Contest Winners Energy Performance Engineering Financial Feasibility & Affordability Resilience Architecture Operations Market Potential Comfort & Environmental Quality Innovation Presentation 2021 Design Challenge Division Winners Suburban Single-Family Housing Division Urban Single-Family Housing Division Attached Housing Division Mixed-Use Multifamily Building Division Elementary School Division Office Building Division Retail Building Division About the Solar Decathlon The Solar Decathlon is a collegiate competition that challenges the next generation of building professionals to design and construct high-performance, low-carbon buildings powered by renewable energy, while promoting student innovation, STEM education, and workforce development opportunities in the buildings industry. Since 2002, more than 20,000 students have participated in the Solar Decathlon, many of whom have gone on to become architects, engineers, and researchers. This year’s competition marks the 19th anniversary of the Solar Decathlon. The  Design Challenge  is a one- to two-semester, design-only competition, while the  Build Challenge  is a two-year design-build competition. Applications for the Solar Decathlon 2022 Design Challenge and 2023 Build Challenge will open this summer. Additional details are available on the  Solar Decathlon  website.",Secretary Granholm Announces Winners of Solar Decathlon Design and Build Challenges,https://www.energy.gov/articles/secretary-granholm-announces-winners-solar-decathlon-design-and-build-challenges
2021-04-27,"WASHINGTON, D.C. —  In support of the Biden Administration’s commitment to modernize the nation’s power grid and infrastructure and deliver 100% clean energy to businesses and homeowners by 2035, the U.S. Department of Energy (DOE) today announced the availability of up to $8.25 billion in loans from its Loan Programs Office (LPO) and the Western Area Power Administration (WAPA) for efforts to expand and improve the nation’s transmission grid. This is one of several Biden Administration announcements made today underscoring its commitment to accelerating efforts to expand and modernize the nation’s electrical grid, creating good-paying unions jobs while increasing access to reliable, affordable, clean power.   “DOE is making financing available for projects that improve resilience and expand transmission capacity across the electrical grid, so we can reliably move clean energy from places where it’s produced to places where it’s needed most,” said  Secretary of Energy Jennifer M. Granholm . “This is a down payment on our efforts to modernize our transmission nationwide—but we need the American Jobs Plan to complete them. These investments will make our power system more resilient against threats and more reliable as we increase our clean energy capacity, creating thousands of jobs in the process.” President Biden’s American Jobs Plan calls for historic investments to modernize and upgrade the country’s power grid, improving resilience against cyber threats, natural disasters, and physical attacks. This includes expansion and upgrades to transmission lines—which are also essential to the administration’s goal of reaching 100% clean electricity by 2035. Renewable energy capacity is often generated far away from population centers where demand is highest. Without added transmission capacity, the electricity grid cannot reliably and consistently deliver renewably sourced power from these points of generation to high demand areas. As DOE joins federal efforts to increase the grid’s renewable energy capacity—such as the plan  announced last month  to add 30 GW of offshore wind energy by 2030—Secretary Granholm has made addressing transmission challenges a key priority. Today’s announcement lays out financial tools that DOE can bring to bear in support of transmission development. Passage of the American Jobs Plan will allow DOE to expand on these resources. DOE has two separate financing streams available to assist with transmission projects: Details on loan guarantees through LPO and application instructions can be found  here . Details on loan eligibility through TIP and application instructions can be found  here . The full list of announcements around efforts to enhance the electrical grid can be found  here .",DOE Announces Up to $8.25 Billion in Loans to Enhance Electrical Transmission Nationwide,https://www.energy.gov/articles/doe-announces-825-billion-loans-enhance-electrical-transmission-nationwide
2021-04-16,"WASHINGTON, D.C. —  The U.S. Department of Energy’s (DOE) Office of Fossil Energy (FE) announced today a  Notice of Sale  of crude oil from the Strategic Petroleum Reserve (SPR). DOE intends to sell up to nine million barrels of crude oil from the SPR. This notice of sale is to fulfill requirements for Section 404 of the Bipartisan Budget Act of 2015, part of a notice of intent first announced January 14 regarding the timing of Fiscal Year 2021 SPR crude oil sales.  The Notice of Sale announced today includes a price-competitive sale of up to nine million barrels of SPR sour crude oil. The sale will be conducted from the following SPR sites: DOE must receive bids no later than 10 a.m. CDT on Tuesday, April 27, 2021, and will award contracts to successful offerors no later than May 6, 2021. Deliveries will take place in June 2021, with early deliveries available in May 2021. The SPR is the world's largest supply of emergency crude oil. The federally-owned oil stocks are stored in underground salt caverns at four storage sites in Texas and Louisiana. The SPR has a long history of protecting the economy and American livelihoods in times of emergency oil shortages created by hurricanes and geopolitical events. The SPR also protects Americans in times of oil surplus, such as those caused by COVID-19-related changes in demand. Any company registered in the SPR’s Crude Oil Sales Offer Program is eligible to participate in this and other SPR crude oil sales. Other interested companies may register through the SPR website’s  Crude Oil Sales Offer Program .",DOE Announces Notice of Sale of Crude Oil from the Strategic Petroleum Reserve,https://www.energy.gov/articles/doe-announces-notice-sale-crude-oil-strategic-petroleum-reserve-2
2021-04-15,"WASHINGTON, D.C. —  The U.S. Department of Energy (DOE) today unveiled two funding opportunities totaling more than $162 million to improve efficiency and reduce carbon emissions among cars, trucks, and off-road vehicles. The funding will support the next stage of the SuperTruck initiatives—aimed at electrifying freight trucking—along with efforts to expand electric vehicle (EV) infrastructure and lower emissions for on- and off-road vehicles. “Getting to net-zero carbon emissions by 2050 means we must aggressively cut down the largest source of emissions: the transportation sector,” said  Secretary of Energy Jennifer M. Granholm . “DOE’s first two SuperTruck initiatives led the biggest truck makers in the American semi market to take massive leaps in fuel efficiency. This new funding triples down on that progress with a push towards electrifying trucks of all sizes, along with efforts to expand EV charging access and develop low-emission car engines.” Building a clean energy economy to address the climate crisis is a top priority of the Biden Administration, and the transportation sector will play a critical part in the effort. Transportation accounts for approximately  30% of total U.S. energy needs  and generates the  largest share of the country’s greenhouse gas emissions . DOE’s new funding seeks to address the two largest contributors to  transportation sector emissions : passenger cars and light-duty trucks, which are responsible for nearly 60%, and medium- and heavy-duty trucks, which cover nearly a quarter. SuperTruck 3 Funding Opportunity New technologies, business models, and consumer demands are among several factors changing how freight moves in the U.S. Combined, these changes present a unique opportunity to re-envision the trucking sector as more economical and sustainable—supporting domestic jobs, the nation’s economy, and the administration’s clean energy goals all at once. DOE’s Office of Energy Efficiency and Renewable Energy (EERE) initially  launched the SuperTruck initiatives  in 2009, aimed to improve heavy-duty truck freight efficiency by 50%, while the follow-up SuperTruck 2 in 2016 sought to double fuel efficiency for 18-wheeler (“class 8”) trucks. The initiatives attracted participation of truck makers comprising over 99% of the U.S. truck market. Within seven years, four of them—Volvo, Daimler, Cummins/Peterbilt, and Navistar—had exceeded the first SuperTruck goal. The five SuperTruck 2 projects are on track to more than double class 8 miles per gallon.   EERE’s Vehicle Technologies Office (VTO) and Hydrogen and Fuel Cell Technologies Office (HFTO) are partnering on the “SuperTruck 3” Funding Opportunity Announcement (FOA) to offer up to $100 million in funding over four years—subject to appropriations—to pioneer electrified medium- and heavy-duty trucks and freight system concepts that achieve even higher efficiency and lower emissions. The funding focuses on a range of approaches to electrification—all-electric, plug-in hybrid systems using renewable biofuels, and hydrogen and fuel cell technologies, including hybridization strategies such as fuel cell range extenders. “Climate chaos is the greatest existential threat of our lifetimes, and it’s going to take an all-hands-on-deck approach to slash the pollution—much of which comes from the transportation sector—that is fanning the flames of the crisis,” said  Senator Jeff Merkley . “By leaning into American ingenuity and innovation, we can use new technologies to chart a path forward—one that will help create jobs, protect our health and security, and lead the world toward a more sustainable future. I’m grateful for the hard work of Oregonians who are contributing to that effort by developing world-class low-emission freight trucks with the support of SuperTruck funding, and I will continue to do all I can to make these investments possible in the years to come, as we work to thwart the most catastrophic impacts of the climate crisis.” “Our modern approach to energy should be ‘all of the above’ not an ‘everything but’ solution. SuperTruck is a vital program not only to Indiana’s Sixth Congressional District, but to the path forward in expanding America’s energy capabilities and independence.” said  U.S. Representative Greg Pence . “I came to Congress to ensure Hoosiers back home in Indiana have a seat at the table, which means prioritizing job creation and economic growth for my constituents – and this investment will accomplish just that.” Low Greenhouse Gas Vehicle Technologies Funding Opportunity VTO is also offering up to $62.75 million as part of its “Low Greenhouse Gas Vehicle Technologies Research, Development, Demonstration, and Deployment” FOA for innovative solutions to reducing emissions and increasing efficiencies for on- and off-road vehicles. To accelerate electric vehicle (EV) adoption, the FOA will support expansion of EV infrastructure and charging, along with community-level EV demonstrations that can lower barriers to EV adoption—such as piloting EV car sharing and installing EV charging within multi-unit housing. The FOA is also open to projects developing advanced engines and fuels that operate with lower emissions. The application processes will include two phases: a concept paper and a full application. Concept papers are due May 13, 2021, and full applications are due July 12, 2021. Applicants are required to submit a plan for achieving diversity, equity, and inclusion objectives, including support for people from underrepresented groups in STEM, advancing equity within the project team, and producing benefits for underserved communities. For more information, please visit  VTO  and  HFTO ’s Funding Opportunity pages, the  EERE Exchange , and  Grants.gov .",DOE Announces $162 Million to Decarbonize Cars and Trucks,https://www.energy.gov/articles/doe-announces-162-million-decarbonize-cars-and-trucks
2021-04-09,"WASHINGTON, D.C. —  Secretary of Energy Jennifer M. Granholm issued the following statement today on  President Biden's intent to nominate Dr. Ali Nouri  for Assistant Secretary for Congressional and Intergovernmental Affairs at the U.S. Department of Energy (DOE): ""I am thrilled that President Biden has nominated Dr. Ali Nouri to serve as Assistant Secretary for Congressional and Intergovernmental Affairs at the Department of Energy. Not only is Ali a tested consensus-builder, he’s a scientist who understands our climate challenges backwards and forwards. He embodies the dynamic expertise and passion that we need to bring everyone on board the clean energy revolution—and if confirmed, he’ll play a huge role in helping this Administration tackle the climate crisis and achieve net-zero carbon emissions by 2050. I am deeply grateful for his willingness to continue serving our country, and look forward to his speedy confirmation.” About Dr. Ali Nouri Ali Nouri, Ph.D. joined the Biden Administration in January and was serving as the Principal Deputy Assistant Secretary in DOE's Office of Congressional and Intergovernmental Affairs. Previously, he was the President of the Federation of American Scientists, a public policy organization focused on countering WMDs, addressing emerging infectious diseases, and crafting solutions to energy and innovation challenges. Under his leadership, the organization also tackled science denialism and COVID-19 misinformation by providing timely, science-based information to policy makers and to the public. Previously, Nouri served as an advisor in the U.S. Senate for nearly a decade, including six years for a member of the Senate Committee on Energy and Natural Resources. During his time in the Senate, he served in various positions including as an Energy and Environment Advisor, a National Security Advisor, and as a Legislative Director. Prior to that, Nouri served as an advisor to the office of UN Secretary General Kofi Annan where he developed initiatives to block biotechnology from being used to produce biological weapons. He earned a B.A. in biology from Reed College and a Ph.D. in molecular biology from Princeton University. He resides in Washington D.C. with his wife, Logan Gibson, and their two sons.",Statement by Secretary Granholm on President Biden's Nomination of Dr. Ali Nouri,https://www.energy.gov/articles/statement-secretary-granholm-president-bidens-nomination-dr-ali-nouri
2021-04-14,"WASHINGTON, D.C.—  Secretary of Energy Jennifer M. Granholm issued the following statement today on  President Biden's intent to nominate Jill Hruby  for Under Secretary for Nuclear Security, and Administrator of the National Nuclear Security Administration at the U.S. Department of Energy (DOE):  “I am so grateful that President Biden has nominated Jill Hruby to serve as Under Secretary for Nuclear Security, and Administrator of the National Nuclear Security Administration. Jill is one of DOE’s very best success stories—she rose through the ranks at Sandia National Labs to become the first woman to lead a national security lab, and now she’s the perfect person to head up our efforts to maintain a safe and reliable nuclear deterrent and protect our national security. She is a brilliant leader, a model public servant, and an inspiration to engineers and rising stars everywhere. I am thrilled that she’s willing to serve the American people once again and look forward to her confirmation.” About Jill Hruby Jill Hruby is a mechanical engineer who joined Sandia National Laboratories as a member of the technical staff in 1983 and retired as the Laboratories Director in 2017 after a distinguished 34-year career. At Sandia, Hruby held roles of increasing management responsibilities with experiences in nuclear weapons systems and component design, nuclear non-proliferation, defense and homeland security technologies and systems, renewable energy, materials science, engineering sciences, and microsystems technology. She was the first woman to lead a national security lab. Since her retirement, Hruby served as the inaugural Sam Nunn Distinguished Fellow at the Nuclear Threat Initiative from 2018-2019. In addition, she has been a member of the Defense Science Board, the National Nuclear Security Administration Defense Programs Advisory Committee, and the National Academy of Science Committee for International Security and Arms Control. She has served on a variety of technical advisory committees and non-profit organization boards. She is a frequent participant in international dialogs; a spokesperson for women in engineering; and a mentor for emerging leaders.  Hruby earned her bachelor’s degree from Purdue University and her master’s degree from the University of California at Berkeley, both in mechanical engineering. She has authored numerous publications and reports, holds three patents, and received an R&D 100 Award. In 2016, she received the Suzanne Jenniches Upward Mobility Award from the Society of Women Engineers. In 2017, Business Insider named her the second most powerful female engineer. Jill has received the Department of Energy Secretary’s Exceptional Service Award, the National Nuclear Security Administrator’s Distinguished Service Gold Award, and the Office of the Secretary of Defense Medal for Exceptional Public Service. ",Statement by Secretary Granholm on President Biden's Nomination of Jill Hruby as NNSA Administrator,https://www.energy.gov/articles/statement-secretary-granholm-president-bidens-nomination-jill-hruby-nnsa-administrator
2021-04-09,"WASHINGTON, D.C. —  The Biden-Harris Administration today submitted to Congress the President’s priorities for Fiscal Year (FY) 2022 discretionary spending. The funding request of $46.1 billion details major investments in key Department of Energy (DOE) efforts to research, develop, and deploy clean energy technologies necessary to reach President Biden’s goals on climate change. These historic investments in American innovation reflect the Administration’s commitment to DOE’s mission to deliver an equitable clean energy future that reduces the health impacts of pollution and increases America’s global competitiveness, while employing millions of Americans in good-paying union jobs.  “To win the future, America must claim its stake in a growing $23 trillion global clean energy market—that’s why President Biden wants to supercharge investments in our country and our people and build world-leading clean energy industries here at home,” said  Secretary of Energy Jennifer M. Granholm . “Alongside the American Jobs Plan, this funding request offers the major investments we need to tackle the climate crisis, while simultaneously increasing our economic competitiveness, ensuring overlooked communities benefit from the clean energy revolution, and creating millions of good paying, union jobs across America.” The President’s FY22 discretionary request: These discretionary investments reflect only one element of the President’s broader agenda. In the coming months, the Administration will release the President’s budget, which will present a unified, comprehensive plan to address the overlapping crises we face in a fiscally and economically responsible way. For more information on the President’s FY22 discretionary funding request, please visit:  https://www.whitehouse.gov/omb/FY-2022-Discretionary-Request .",Statement by Secretary Granholm on the President's FY22 Discretionary Funding Request,https://www.energy.gov/articles/statement-secretary-granholm-presidents-fy22-discretionary-funding-request
