region,total_cases,total_deaths,total_recovered,active_cases,total_cases/1M_population,deaths/1M_population,total_tests,tests/1M_population,population
World,158092431,3291489,136403614,18397328,20282,4223,,,
USA,33423238,594981,26325307,6502950,100476,1789,456065435,1371013,332648503
India,22271530,242029,18290133,3739368,16005,174,300410043,215890,1391494040
Brazil,15087360,419393,13640478,1027489,70554,1961,46616516,217997,213840120
France,5747214,106101,4817288,823825,87883,1622,78205751,1195877,65396123
Turkey,5016141,42746,4691224,282171,58939,502,49192673,578007,85107359
Russia,4871843,112992,4488615,270236,33372,774,131100000,898021,145987611
UK,4433090,127603,4245744,59743,65012,1871,163171777,2392953,68188452
Italy,4102921,122694,3590107,390120,67945,2032,60871018,1008027,60386272
Spain,3567408,78792,3248010,240606,76275,1685,47213067,1009470,46770160
Germany,3510506,85184,3147100,278222,41786,1014,56836969,676540,84011297
Argentina,3118134,66872,2777902,273360,68460,1468,11683923,256524,45547060
Colombia,2968626,76867,2788751,103008,57821,1497,15283737,297685,51342040
Poland,2829196,69866,2563079,196251,74824,1848,14678781,388211,37811389
Iran,2640670,74524,2092381,473765,31102,878,16929609,199401,84902433
Mexico,2361874,218657,1881818,261399,18157,1681,6734249,51770,130079641
Ukraine,2114138,46200,1750570,317368,48589,1062,9594857,220520,43510196
Peru,1839465,63519,1720665,55281,55139,1904,11555688,346391,33360257
Indonesia,1709762,46842,1563917,99003,6195,170,15173829,54983,275972350
Czechia,1644335,29647,1575399,39289,153306,2764,19804403,1846418,10725848
South Africa,1592326,54687,1513202,24437,26565,912,10831738,180706,59941326
Netherlands,1553469,17319,1309846,226304,90491,1009,12762141,743409,17167057
Canada,1276991,24561,1172051,80379,33585,646,32408919,852362,38022488
Chile,1241976,27101,1177342,37533,64501,1407,13495109,700855,19255219
Iraq,1103950,15702,992423,95825,26937,383,9606567,234402,40983371
Philippines,1094849,18269,1013204,63376,9880,165,12239858,110453,110814711
Romania,1065254,28903,1011694,24657,55689,1511,8456983,442115,19128475
Belgium,1010987,24483,880229,106275,86911,2105,12885085,1107688,11632413
Sweden,1007792,14173,835422,158197,99264,1396,8798383,866609,10152657
Pakistan,854240,18797,752712,82731,3805,84,12149935,54117,224512144
Portugal,839258,16991,800007,22260,82511,1670,10832463,1064989,10171433
Israel,838858,6375,831432,1051,91204,693,14346755,1559839,9197590
Hungary,790564,28504,561119,200941,82013,2957,5494198,569967,9639499
Bangladesh,772127,11878,706833,53416,4649,72,5613979,33803,166078786
Jordan,719233,9076,701191,8966,69904,882,6824502,663287,10288909
Serbia,699574,6539,658453,34582,80342,751,3919856,450173,8707441
Switzerland,670613,10704,601958,57951,77009,1229,7088449,813991,8708265
Austria,630050,10374,601958,17718,69619,1146,34299962,3790062,9049975
Japan,626522,10702,551293,64527,4967,85,12353334,97928,126147280
UAE,534445,1610,514769,18066,53490,161,45667425,4570618,9991520
Lebanon,532269,7460,481968,42841,78281,1097,4097623,602641,6799448
Morocco,513628,9064,500540,4024,13777,243,6330343,169802,37280793
Malaysia,436944,1657,398723,36564,13355,51,9980413,305055,32716812
Saudi Arabia,425442,7059,408676,9707,12062,200,17459285,494989,35272085
Bulgaria,409495,16886,347870,44739,59313,2446,2577231,373300,6903920
Ecuador,398921,19137,329582,50202,22324,1071,1334841,74699,17869505
Nepal,385890,3632,298765,83493,13046,123,2615720,88431,29579317
Slovakia,385395,11990,367530,5875,70561,2195,2717033,497453,5461888
Belarus,367674,2622,358261,6791,38921,278,5976984,632707,9446682
Panama,366762,6258,356520,3984,83886,1431,2448142,559938,4372167
Greece,360577,10978,322282,27317,34739,1058,8445689,813670,10379746
Croatia,343829,7424,325700,10705,84195,1818,1871290,458231,4083725
Kazakhstan,340239,3889,294162,42188,17939,205,10455458,551252,18966765
Azerbaijan,326056,4666,304580,16810,31914,457,3321511,325110,10216590
Georgia,320830,4263,299500,17067,80557,1070,4344217,1090783,3982659
Tunisia,318236,11277,274270,32689,26690,946,1350359,113254,11923323
Bolivia,316153,13182,259431,43540,26775,1116,1235851,104665,11807685
Palestine,300946,3338,283570,14038,57859,642,1770081,340312,5201353
Paraguay,294233,6974,242915,44344,40828,968,1139296,158089,7206670
Kuwait,282981,1628,266917,14436,65445,377,2388785,552453,4323963
Dominican Republic,269958,3517,230945,35496,24676,321,1428975,130619,10940026
Costa Rica,265486,3365,212525,49596,51716,655,1033203,201266,5133520
Ethiopia,261580,3840,206870,50870,2229,33,2609897,22238,117362028
Denmark,258182,2497,244998,10687,44441,430,42131769,7252206,5809511
Lithuania,256906,4024,231841,21041,95508,1496,2961273,1100885,2689901
Moldova,252604,5943,243195,3466,62743,1476,1017286,252679,4025994
Ireland,252303,4919,234805,12579,50618,987,4641879,931268,4984474
Slovenia,245793,4286,232389,9118,118216,2061,1203360,578766,2079181
Egypt,235140,13779,175928,45433,2262,133,2715258,26117,103963661
Guatemala,233696,7695,211572,14429,12844,423,1298713,71376,18195353
Armenia,219092,4225,204121,10746,73819,1424,1012538,341158,2967945
Honduras,218330,5585,81160,131585,21751,556,648703,64626,10037725
Uruguay,216146,3032,187153,25961,62041,870,1885930,541320,3483946
Qatar,210603,502,200467,9634,75006,179,1941171,691348,2807805
Venezuela,205181,2263,187665,15253,7233,80,3359014,118411,28367444
Bosnia and Herzegovina,200693,8790,164717,27186,61497,2693,922568,282697,3263454
Oman,199344,2083,181696,15565,38218,399,1550000,297163,5215985
Bahrain,186403,674,173036,12693,106443,385,4206579,2402112,1751200
Libya,179697,3063,165931,10703,25855,441,972747,139957,6950315
Nigeria,165340,2065,155454,7821,786,10,1939165,9215,210442777
Kenya,163238,2883,111129,49226,2980,53,1715038,31314,54769918
North Macedonia,153891,5079,137664,11148,73869,2438,738012,354251,2083301
Myanmar,142934,3210,132004,7720,2612,59,2587501,47287,54719008
Albania,131666,2411,116126,13129,45795,839,654521,227649,2875127
S. Korea,126745,1865,116881,7999,2470,36,9089166,177154,51306656
Estonia,124901,1195,115699,8007,94102,900,1323778,997352,1327293
Algeria,123692,3315,86149,34228,2778,74,230861,5186,44519649
Latvia,123331,2208,112150,8973,66008,1182,2381690,1274701,1868430
Sri Lanka,123234,764,103098,19372,5735,36,2900769,134986,21489420
Norway,115988,767,88952,26269,21254,141,5337838,978134,5457163
Cuba,114912,722,108448,5742,10151,64,3812673,336786,11320742
Montenegro,98237,1536,94803,1898,156395,2445,384874,612726,628134
Kyrgyzstan,98079,1649,91267,5163,14826,249,1021960,154488,6615134
Uzbekistan,93978,662,89703,3613,2774,20,1377915,40671,33879305
Ghana,92856,783,90480,1593,2937,25,1108763,35065,31620038
Zambia,92057,1257,90363,437,4892,67,1436254,76327,18817059
China,90746,4636,85810,300,63,3,160000000,111163,1439323776
Finland,88561,922,46000,41639,15963,166,4630078,834545,5548028
Thailand,81274,382,51419,29473,1162,5,8124896,116155,69948647
Cameroon,74946,1152,70497,3297,2765,43,1518411,56025,27102385
El Salvador,70255,2146,65778,2331,10785,329,934357,143439,6513963
Mozambique,70138,820,67706,1612,2192,26,525385,16422,31992056
Cyprus,68766,332,39061,29373,56606,273,5181292,4265112,1214808
Luxembourg,68153,801,64943,2409,107398,1262,2711542,4272951,634583
Afghanistan,61842,2686,54040,5116,1559,68,418191,10542,39667381
Singapore,61331,31,60912,388,10414,5,9906797,1682160,5889331
Namibia,49893,683,47173,2037,19340,265,399564,154884,2579758
Botswana,48417,734,46226,1457,20244,307,1086267,454184,2391688
Jamaica,46588,803,22148,23637,15675,270,341769,114991,2972132
Ivory Coast,46344,291,45790,263,1721,11,605248,22476,26928434
Mongolia,44016,160,29984,13872,13246,48,2772740,834434,3322899
Uganda,42224,346,41652,226,899,7,1032526,21990,46954508
Senegal,40665,1117,39335,213,2376,65,489629,28608,17115337
Madagascar,38874,716,35732,2426,1374,25,190996,6751,28290383
Zimbabwe,38403,1576,36041,786,2552,105,429710,28560,15045847
Malawi,34158,1152,32145,861,1748,59,235195,12033,19546127
Maldives,34134,82,25782,8270,62222,149,752971,1372572,548584
Sudan,33648,2365,27247,4036,753,53,232965,5210,44712026
Malta,30438,417,29774,247,68780,942,882019,1993079,442541
DRC,30285,772,26434,3079,330,8,152076,1656,91849784
Australia,29906,910,28758,238,1161,35,17151054,666053,25750285
Angola,28201,628,24698,2875,836,19,513297,15220,33725272
Cabo Verde,25837,231,22323,3283,46047,412,154030,274515,561099
Rwanda,25539,338,24050,1151,1931,26,1337100,101122,13222636
Gabon,23432,143,19944,3345,10323,63,749276,330079,2269987
Syria,23256,1639,18166,3451,1302,92,103566,5799,17858790
Guinea,22602,150,20186,2266,1683,11,442592,32949,13432554
Réunion,21601,150,19848,1603,23982,167,102720,114041,900728
French Guiana,20366,104,9995,10267,66730,341,225358,738394,305200
Mayotte,20134,170,2964,17000,72331,611,174251,625992,278360
French Polynesia,18790,141,18617,32,66564,499,26355,93363,282285
Cambodia,18717,114,7340,11263,1107,7,986444,58319,16914637
Mauritania,18613,456,17847,310,3916,96,241617,50840,4752536
Eswatini,18474,671,17773,30,15785,573,191494,163623,1170335
Guadeloupe,15360,210,2242,12908,38383,525,187796,469276,400182
Somalia,14415,747,6191,7477,886,46,118345,7275,16266237
Guyana,14073,314,11928,1831,17819,398,128826,163118,789771
Mali,14059,497,8937,4625,678,24,277373,13373,20741348
Andorra,13390,127,12936,327,173064,1641,193595,2502197,77370
Burkina Faso,13368,162,13131,75,625,8,181653,8494,21385551
Tajikistan,13308,90,13218,0,1369,9,,,9718231
Haiti,13164,263,12154,747,1143,23,60085,5216,11520146
Togo,13106,124,11580,1402,1552,15,316098,37442,8442228
Trinidad and Tobago,12720,196,9044,3480,9064,140,139640,99506,1403334
Belize,12686,323,12288,75,31423,800,120939,299559,403723
Curaçao,12228,113,11920,195,74261,686,98732,599604,164662
Hong Kong,11807,210,11486,111,1564,28,13412611,1776854,7548518
Papua New Guinea,11630,121,10312,1197,1279,13,95014,10452,9090082
Martinique,11558,83,98,11377,30820,221,163838,436880,375018
Djibouti,11335,149,11041,145,11333,149,151807,151785,1000147
Congo,11147,148,8208,2791,1979,26,92500,16423,5632490
Suriname,10933,214,9694,1025,18497,362,52728,89206,591084
Bahamas,10773,212,9781,780,27175,535,89754,226408,396426
Lesotho,10761,319,6427,4015,4990,148,83335,38641,2156639
Aruba,10747,100,10545,102,100298,933,152435,1422619,107151
South Sudan,10637,115,10312,210,941,10,155471,13753,11304789
Benin,7884,100,7652,132,636,8,595112,48030,12390502
Equatorial Guinea,7694,112,7279,303,5337,78,123169,85434,1441687
Nicaragua,6989,183,4225,2581,1044,27,,,6691251
CAR,6674,93,5112,1469,1362,19,40907,8347,4900689
Iceland,6506,29,6347,130,18961,85,613017,1786591,343121
Yemen,6462,1270,2983,2209,213,42,32410,1067,30379807
Seychelles,6373,28,5277,1068,64463,283,21504,217513,98863
Gambia,5925,175,5547,203,2395,71,76379,30875,2473779
Niger,5313,192,4882,239,213,8,100632,4035,24941425
San Marino,5067,90,4935,42,149064,2648,61760,1816898,33992
Chad,4862,170,4622,70,289,10,115130,6844,16822255
Saint Lucia,4654,75,4439,140,25247,407,41374,224445,184339
Gibraltar,4286,94,4189,3,127249,2791,239374,7106882,33682
Burundi,4132,6,773,3353,339,5,279132,22901,12188489
Sierra Leone,4068,79,3078,911,501,10,153257,18888,8113840
Channel Islands,4056,86,3956,14,23148,491,454413,2593385,175220
Barbados,3931,45,3847,39,13665,156,157606,547863,287674
Comoros,3854,146,3682,26,4354,165,,,885223
Eritrea,3742,12,3602,128,1043,3,23693,6604,3587929
Guinea-Bissau,3739,67,3387,285,1863,33,64589,32179,2007194
Vietnam,3230,35,2602,593,33,4,2958119,30160,98080462
Timor-Leste,3111,4,1601,1506,2322,3,83105,62035,1339641
Liechtenstein,2967,58,2858,51,77627,1517,39109,1023233,38221
New Zealand,2640,26,2589,25,528,5,2051603,410148,5002100
Monaco,2477,32,2402,43,62744,811,51953,1315999,39478
Bermuda,2434,30,2095,309,39206,483,246096,3964048,62082
Turks and Caicos,2402,17,2358,27,61338,434,60836,1553524,39160
Sao Tome and Principe,2318,35,2262,21,10414,157,12999,58398,222595
Sint Maarten,2259,27,2199,33,52185,624,26359,608922,43288
Liberia,2114,85,1962,67,410,16,97875,18976,5157851
St. Vincent Grenadines,1912,12,1741,159,17188,108,45888,412517,111239
Saint Martin,1773,12,1399,362,45203,306,27588,703363,39223
Isle of Man,1590,29,1550,11,18615,340,44761,524041,85415
Caribbean Netherlands,1577,17,1542,18,59669,643,10040,379886,26429
Mauritius,1240,17,1121,102,974,13,358675,281632,1273560
Laos,1233,,150,1083,167,,188542,25600,7364820
Antigua and Barbuda,1232,32,1014,186,12493,324,16700,169344,98616
Bhutan,1202,1,1065,136,1543,1,724937,930838,778800
Taiwan,1183,12,1082,89,50,5,555429,23285,23853373
St. Barth,974,1,462,511,98354,101,26385,2664344,9903
Diamond Princess,712,13,699,0,,,,,
Faeroe Islands,668,1,662,5,13627,20,255546,5213097,49020
Cayman Islands,548,2,537,9,8256,30,91940,1385160,66375
Tanzania,509,21,183,305,8,3,,,61165222
Wallis and Futuna,445,7,44,394,40195,632,17264,1559389,11071
Brunei,230,3,218,9,522,7,122292,277289,441027
British Virgin Islands,216,1,191,24,7105,33,39777,1308368,30402
Dominica,175,,175,0,2426,,15546,215504,72138
Grenada,160,1,158,1,1416,9,26331,233090,112965
Fiji,136,3,96,37,151,3,63609,70524,901951
New Caledonia,124,,58,66,431,,31166,108282,287822
Anguilla,99,,49,50,6549,,21024,1390844,15116
Falkland Islands,63,,63,0,17672,,7258,2035905,3565
Macao,49,,49,0,75,,4483,6825,656821
Saint Kitts and Nevis,45,,44,1,841,,13691,255820,53518
Greenland,31,,31,0,545,,20669,363545,56854
Vatican City,27,,15,12,33624,,,,803
Saint Pierre Miquelon,25,,25,0,4333,,5318,921664,5770
Montserrat,20,1,19,0,4004,200,1313,262863,4995
Solomon Islands,20,,20,0,29,,4500,6419,701072
Western Sahara,10,1,8,1,16,2,,,609709
MS Zaandam,9,2,7,0,,,,,
Vanuatu,4,1,3,0,13,3,23000,73437,313193
Marshall Islands,4,,4,0,67,,,,59529
Samoa,3,,2,1,15,,,,199532
Saint Helena,2,,2,0,328,,,,6092
Micronesia,1,,1,0,9,,,,116044
